Date;Open;High;Low;Close;Volume;MarketCap
07/05/2015;229.66;239.10;228.57;237.33;29064400;3245660000
06/05/2015;236.25;236.45;229.23;229.78;29587200;3337790000
05/05/2015;238.85;239.20;232.05;236.12;23929100;3373650000
04/05/2015;240.36;242.64;237.81;239.02;21223400;3394130000
03/05/2015;234.88;243.24;234.08;240.36;18494100;3315980000
02/05/2015;232.34;235.73;232.34;234.93;12535500;3279270000
01/05/2015;235.94;238.97;232.08;232.08;18815300;3329190000
30/04/2015;225.69;239.56;224.99;236.15;33818600;3183860000
29/04/2015;225.59;227.04;223.43;225.81;18936500;3181700000
28/04/2015;228.97;229.50;223.07;225.85;21469200;3228470000
27/04/2015;219.43;233.31;218.02;229.29;38574000;3093200000
26/04/2015;226.41;226.94;214.87;219.43;28943700;3190790000
25/04/2015;231.24;232.56;226.34;226.39;13957200;3257850000
24/04/2015;235.97;236.31;229.93;231.27;21448700;3323830000
23/04/2015;234.05;236.47;233.20;236.46;17036000;3296060000
22/04/2015;235.60;237.91;233.48;234.18;23847900;3316990000
21/04/2015;224.62;235.27;224.30;235.27;24978000;3161520000
20/04/2015;222.61;226.35;221.98;224.63;18364700;3132400000
19/04/2015;223.46;226.35;222.37;222.60;15021500;3143460000
18/04/2015;222.85;224.32;220.88;223.36;12939000;3134170000
17/04/2015;228.57;228.91;221.94;222.88;20429800;3213910000
16/04/2015;223.92;229.67;223.92;228.57;24805400;3147650000
15/04/2015;219.07;223.83;218.65;223.83;22562000;3078890000
14/04/2015;224.76;224.98;216.32;219.16;31719000;3157970000
13/04/2015;235.95;236.94;222.00;224.59;31181800;3314280000
12/04/2015;236.53;237.73;233.50;236.15;12387900;3321740000
11/04/2015;236.02;239.54;234.18;236.55;16365200;3313620000
10/04/2015;243.69;243.69;232.77;236.07;28882000;3420500000
09/04/2015;244.75;246.12;239.40;243.68;21643500;3434520000
08/04/2015;253.06;253.85;244.22;245.02;30086400;3550390000
07/04/2015;255.27;255.81;252.21;253.18;18467400;3580410000
06/04/2015;260.72;261.80;254.57;255.49;20034200;3655990000
05/04/2015;253.76;260.68;251.94;260.60;19649200;3557460000
04/04/2015;254.29;255.26;251.10;253.70;12493500;3563920000
03/04/2015;253.07;256.04;251.88;254.32;23146600;3545940000
02/04/2015;247.09;254.46;245.42;253.00;26272600;3461060000
01/04/2015;244.22;247.54;241.16;247.27;22877200;3420100000
31/03/2015;247.45;248.73;242.74;244.22;22672000;3464410000
30/03/2015;242.88;249.24;239.21;247.53;23009600;3399510000
29/03/2015;252.74;253.14;240.85;242.71;21699400;3536570000
28/03/2015;246.97;254.21;246.97;252.80;16040900;3454980000
27/03/2015;248.57;256.81;245.21;247.03;17274900;3476180000
26/03/2015;246.28;254.35;244.91;248.53;25730000;3443230000
25/03/2015;247.47;249.19;236.51;246.20;35866900;3458950000
24/03/2015;266.58;267.00;244.16;245.59;40073700;3724830000
23/03/2015;267.89;277.30;261.75;266.74;22811900;3742290000
22/03/2015;259.92;269.75;259.59;267.96;18438100;3629920000
21/03/2015;261.64;262.20;255.65;260.02;17130100;3653040000
20/03/2015;260.96;264.85;259.16;261.75;18456700;3642550000
19/03/2015;255.88;264.24;248.64;260.93;52732000;3570820000
18/03/2015;285.07;285.34;249.87;256.30;57008000;3977030000
17/03/2015;290.60;292.37;284.37;285.50;21497200;4053230000
16/03/2015;285.69;294.11;285.69;290.59;21516100;3983760000
15/03/2015;281.43;286.53;281.00;286.39;11970100;3923350000
14/03/2015;284.44;286.34;280.98;281.88;22612300;3964470000
13/03/2015;294.12;294.50;285.34;285.34;31421500;4098250000
12/03/2015;296.13;297.09;292.41;294.35;32585200;4125290000
11/03/2015;291.52;297.39;290.51;296.38;33963900;4060030000
10/03/2015;289.86;300.04;289.74;291.76;67770800;4035790000
09/03/2015;274.81;292.70;273.89;289.61;59178200;3825250000
08/03/2015;276.43;277.86;272.56;274.35;22067900;3846750000
07/03/2015;272.29;277.85;270.13;276.26;17825900;3788190000
06/03/2015;275.60;277.61;270.01;272.72;28918900;3833160000
05/03/2015;272.74;281.67;264.77;276.18;41302400;3792480000
04/03/2015;281.99;284.23;268.13;273.09;41383000;3920130000
03/03/2015;275.05;285.80;268.16;281.70;50461300;3822510000
02/03/2015;260.36;276.30;258.31;275.67;40465700;3617340000
01/03/2015;254.28;261.66;245.93;260.20;25213700;3532050000
28/02/2015;253.52;254.69;249.48;254.26;13949300;3520560000
27/02/2015;236.44;256.65;236.44;253.83;44013900;3282410000
26/02/2015;237.34;237.71;234.26;236.43;13619400;3294030000
25/02/2015;238.89;239.34;235.53;237.47;11496200;3314640000
24/02/2015;239.00;239.90;236.40;238.74;14200400;3315370000
23/02/2015;236.00;240.11;232.42;238.89;16400000;3272880000
22/02/2015;244.54;246.39;233.85;235.98;19527000;3390510000
21/02/2015;243.75;255.32;243.18;244.53;12284200;3378660000
20/02/2015;240.25;247.10;239.30;243.78;23876700;3329190000
19/02/2015;236.41;242.67;235.59;240.28;18270500;3274980000
18/02/2015;243.78;244.25;232.34;236.33;25200800;3376060000
17/02/2015;233.42;245.78;232.31;243.61;27363100;3231750000
16/02/2015;234.82;239.52;229.02;233.84;28153700;3250240000
15/02/2015;257.51;265.61;227.68;234.82;56552400;3563290000
14/02/2015;235.53;259.81;235.53;257.32;49732500;3258210000
13/02/2015;221.97;240.26;221.26;235.43;42744400;3069830000
12/02/2015;219.21;222.20;217.61;221.76;15206200;3030990000
11/02/2015;219.73;223.41;218.07;219.19;17201900;3037370000
10/02/2015;220.28;221.81;215.33;219.84;21115100;3044180000
09/02/2015;223.39;223.98;217.02;220.11;27791300;3086220000
08/02/2015;227.69;229.44;221.08;223.41;17145200;3144920000
07/02/2015;222.63;230.30;222.61;227.75;21604200;3074140000
06/02/2015;216.92;230.51;216.23;222.27;24435300;2994350000
05/02/2015;227.66;239.41;214.72;217.11;22516400;3141730000
04/02/2015;227.51;230.06;221.11;226.85;26594300;3138700000
03/02/2015;237.45;245.96;224.48;227.27;40783700;3275110000
02/02/2015;226.49;242.18;222.66;238.23;30612100;3123010000
01/02/2015;216.87;231.57;212.01;226.97;29128500;2989460000
31/01/2015;226.44;233.50;216.31;217.46;23348200;3120490000
30/01/2015;232.77;242.85;225.84;226.43;26605200;3206940000
29/01/2015;233.35;238.71;220.71;233.51;32213400;3213920000
28/01/2015;263.35;266.54;227.05;233.91;44352200;3626050000
27/01/2015;273.17;275.48;250.65;263.48;44399000;3760210000
26/01/2015;254.08;309.38;254.08;273.47;106794000;3496650000
25/01/2015;247.35;255.07;243.89;253.72;33582700;3403300000
24/01/2015;232.70;248.21;230.02;247.85;24782500;3200970000
23/01/2015;233.52;234.84;225.20;232.88;24621700;3211490000
22/01/2015;227.32;237.02;226.43;233.41;33544600;3125520000
